name,slug,description,latitude,longitude,metaTitle,metaDescription,metaKeywords
Taj Mahal,taj-mahal,One of the Seven Wonders of the World - A stunning white marble mausoleum in Agra,27.1751,78.0421,Taj Mahal - Symbol of Love in Agra,Visit the iconic Taj Mahal in Agra. Learn about its history and architecture.,taj mahal agra india wonder
Jaipur City Palace,jaipur-city-palace,A beautiful blend of Rajasthani and Mughal architecture in the heart of Jaipur,26.9250,75.8233,Jaipur City Palace - Royal Heritage,Explore the magnificent City Palace in Jaipur with its stunning architecture.,jaipur city palace rajasthan
Hawa Mahal,hawa-mahal,The iconic pink sandstone structure with 953 small windows in Jaipur,26.9245,75.8267,Hawa Mahal - Palace of Winds,Visit the famous Hawa Mahal (Palace of Winds) in Jaipur.,hawa mahal jaipur pink city
Amber Fort,amber-fort,A majestic fort overlooking Jaipur with stunning views and rich history,26.9855,75.8513,Amber Fort - Jaipur's Majestic Fortress,Discover the grandeur of Amber Fort near Jaipur.,amber fort jaipur rajasthan
Varanasi Ghats,varanasi-ghats,Sacred steps leading to the holy Ganges River - a spiritual experience,25.3268,82.9829,Varanasi Ghats - Spiritual Journey,Experience the spiritual essence of Varanasi at the sacred ghats.,varanasi ghats ganges river
Khajuraho Temples,khajuraho-temples,Ancient temples with intricate carvings and sculptures dating back to the 10th century,24.8318,79.9864,Khajuraho Temples - Ancient Artistry,Explore the exquisite Khajuraho Temples with their intricate carvings.,khajuraho temples madhya pradesh
Goa Beaches,goa-beaches,Beautiful coastal destination with pristine beaches and vibrant nightlife,15.4909,73.8278,Goa Beaches - Tropical Paradise,Relax at the stunning beaches of Goa with golden sand and clear waters.,goa beaches india tropical
Backwaters Kerala,backwaters-kerala,Serene network of lagoons and lakes surrounded by lush greenery,9.3667,76.7667,Kerala Backwaters - Nature's Waterways,Cruise through the tranquil Kerala Backwaters surrounded by nature.,kerala backwaters lagoons
Darjeeling Tea Gardens,darjeeling-tea-gardens,Scenic hill station famous for its tea plantations and Himalayan views,27.0410,88.2663,Darjeeling Tea Gardens - Mountain Retreat,Visit the picturesque Darjeeling with its famous tea gardens.,darjeeling tea gardens himalayan
Mysore Palace,mysore-palace,A grand palace showcasing Indo-Saracenic architecture in Karnataka,12.3052,76.6552,Mysore Palace - Royal Grandeur,Explore the magnificent Mysore Palace with its stunning architecture.,mysore palace karnataka india
